class,org,org_type,pi_first,pi_sur,pclass,status,owner,end,grant,scheme,start,total
Computational Methods & Tools,Howard Miller Design Ltd,LEAD ORGANISATION,howard,miller,,Closed,STFC,6/30/2015,Research Grant,Public Engagements Large Award,5/1/2014,38500
Proteomics,Queen's University of Belfast,LEAD ORGANISATION,Marie,Migaud,,Closed,BBSRC,10/31/2015,Research Grant,Standard Grant,5/1/2014,140111.68
Combustion,The University of Manchester,LEAD ORGANISATION,Gordon,McFiggans,,Active,NERC,1/31/2017,Research Grant,Standard Grant (FEC),5/1/2014,418454.96
Stem cell biology,King's College London,LEAD ORGANISATION,Setsuko,Sahara,,Active,BBSRC,4/30/2017,Research Grant,Responsive Mode,5/1/2014,427000.032
Ecosystem Scale Processes,Plymouth Marine Laboratory,LEAD ORGANISATION,Julian,Allen,Terrest. & freshwater environ.,Active,NERC,4/30/2017,Research Grant,Directed (Research Programmes),5/1/2014,372660.448
Materials Synthesis & Growth,Sharp Laboratories of Europe Ltd,PROJECT PARTNER,Paul,McMillan,Materials sciences,Active,EPSRC,4/30/2017,Research Grant,Standard Research,5/1/2014,839850.05
Medical Imaging,Haemometrics Ltd,PROJECT PARTNER,Phylip,Williams,"Tools, technologies & methods",Active,EPSRC,4/30/2017,Research Grant,Standard Research,5/1/2014,922580.344
Land - Ocean Interactions,University of Sheffield,LEAD ORGANISATION,Thomas,Webb,,Active,NERC,4/30/2018,Research Grant,Directed (Research Programmes),5/1/2014,566461.206
Chemical Synthetic Methodology,University of Texas at Austin,PROJECT PARTNER,Timothy,Donohoe,,Active,EPSRC,4/30/2019,Fellowship,EPSRC Fellowship,5/1/2014,980230.2
Digital Signal Processing,Wageningen University,PROJECT PARTNER,Daniel,Stowell,Info. & commun. Technol.,Active,EPSRC,4/30/2019,Fellowship,EPSRC Fellowship,5/1/2014,506360.826
Particle Technology,University of Exeter,LEAD ORGANISATION,Oana,Ghita,Materials processing,Active,EPSRC,5/4/2016,Research Grant,Standard Research,5/5/2014,179785.304
Tools for the biosciences,Technology Strategy Board,COFUNDER,Daniel,Bracewell,"Tools, technologies & methods",Closed,BBSRC,11/5/2015,Research Grant,Small Grants,5/6/2014,140778.732
Systems neuroscience,University of Leicester,LEAD ORGANISATION,Nicholas,Hartell,,Active,BBSRC,5/5/2017,Research Grant,Responsive Mode,5/6/2014,392606.736
Manufacturing Machine & Plant,Loughborough University,LEAD ORGANISATION,Robert,Kay,,Active,EPSRC,6/1/2016,Research Grant,Standard Research,5/8/2014,157863.062
Survey & Monitoring,University of Hull,LEAD ORGANISATION,Daniel,Parsons,Instrument. sensor & detectors,Active,NERC,5/8/2018,Research Grant,Standard Grant (FEC),5/9/2014,293135.936
Reactor Engineering,Aston University,LEAD ORGANISATION,Adam,Lee,,Active,EPSRC,10/12/2016,Research Grant,Standard Research,5/13/2014,214957.504
Instrumentation Eng. & Dev.,Royal Botanic Gardens Kew,LEAD ORGANISATION,Bruce,Pavlik,Chemical measurement,Closed,NERC,3/15/2015,Research Grant,Directed (RP) - NR1,5/16/2014,64850.77
Image & Vision Computing,Aberystwyth University,LEAD ORGANISATION,Hannah,Dee,Info. & commun. Technol.,Active,EPSRC,12/31/2016,Research Grant,First Grant - Revised 2009,5/21/2014,101088.378
Materials Characterisation,University of Strathclyde,LEAD ORGANISATION,Siddharth,Patwardhan,Materials sciences,Active,EPSRC,5/21/2016,Research Grant,Standard Research,5/22/2014,153807.768
Materials Synthesis & Growth,North Carolina State University,PROJECT PARTNER,Carol,Crean,Materials sciences,Active,EPSRC,1/22/2016,Research Grant,First Grant - Revised 2009,5/23/2014,96656.32
Survey & Monitoring,Tartu Observatory,PROJECT PARTNER,Andrew,Tyler,Instrument. sensor & detectors,Active,NERC,5/28/2016,Research Grant,IOF,5/29/2014,35947.60798
Tropospheric Processes,NERC British Antarctic Survey,LEAD ORGANISATION,Thomas,Lachlan-Cope,Atmospheric phys. & chemistry,Active,NERC,5/28/2018,Research Grant,Standard Grant (FEC),5/29/2014,499912.946
Chemical Synthetic Methodology,University of Oxford,LEAD ORGANISATION,Veronique,Gouverneur,,Active,EPSRC,5/29/2017,Research Grant,Standard Research,5/30/2014,417137.92
Instrumentation Eng. & Dev.,Imperial College London,LEAD ORGANISATION,Alexei,Kornyshev,Chemical measurement,Active,EPSRC,5/29/2017,Research Grant,Standard Research,5/30/2014,629902.256
Bionanotechnology,Imperial College London,LEAD ORGANISATION,Joshua,Edel,,Closed,BBSRC,11/30/2015,Research Grant,Standard Grant,5/31/2014,117686.248
Energy - Nuclear,The University of Manchester,LEAD ORGANISATION,Timothy,Abram,Energy,Active,EPSRC,5/30/2018,Research Grant,Standard Research,5/31/2014,3053898.17
Community Ecology,Bangor University,LEAD ORGANISATION,Jan,Hiddink,,Active,NERC,5/30/2018,Research Grant,Directed (Research Programmes),5/31/2014,622238.328
Bionanotechnology,University of York,LEAD ORGANISATION,Thomas,Krauss,,Closed,BBSRC,9/30/2015,Research Grant,Standard Grant,6/1/2014,144463.452
Materials Processing,National Composites Centre,PROJECT PARTNER,Richard,Trask,Materials processing,Closed,EPSRC,1/31/2016,Fellowship,EPSRC Fellowship,6/1/2014,870838.872
Information & Knowledge Mgmt,Imperial College Healthcare NHS Trust,PROJECT PARTNER,Ara,Darzi,,Active,EPSRC,5/31/2016,Research Grant,Standard Research,6/1/2014,270434.544
Tools for the biosciences,Cardiff University,LEAD ORGANISATION,James,Murray,"Tools, technologies & methods",Active,BBSRC,5/31/2017,Research Grant,Responsive Mode,6/1/2014,393245.104
Mobile Computing,Coventry University,LEAD ORGANISATION,Siraj Ahmed,Shaikh,,Active,EPSRC,5/31/2017,Research Grant,Standard Research,6/1/2014,188825.74
Environmental Microbiology,University of Aberdeen,LEAD ORGANISATION,James I,Prosser,,Active,NERC,11/30/2017,Research Grant,Standard Grant (FEC),6/1/2014,476737.948
Tissue engineering,University of Reading,LEAD ORGANISATION,Ian,Hamley,Medical & health interface,Active,EPSRC,5/31/2019,Research Grant,Platform Grants,6/1/2014,1185823.734
Community Ecology,University of Sheffield,LEAD ORGANISATION,Mark,Rees,,Active,NERC,6/1/2017,Research Grant,Standard Grant (FEC),6/2/2014,149010.44
Image & Vision Computing,University of Oxford,LEAD ORGANISATION,Andrea,Vedaldi,Info. & commun. Technol.,Closed,EPSRC,12/8/2015,Research Grant,First Grant - Revised 2009,6/9/2014,99320.912
Biogeochemical Cycles,NERC British Antarctic Survey,FELLOW,James,Brearley,,Active,NERC,6/8/2019,Fellowship,Research Fellowship,6/9/2014,587936.232
Biomaterials,City University London,PROJECT PARTNER,Gareth,Williams,Atomic & molecular physics,Closed,EPSRC,12/15/2015,Research Grant,First Grant - Revised 2009,6/16/2014,98894.526
Tectonic Processes,IFM GEOMAR,PROJECT PARTNER,Isabelle,Ryder,Geosciences,Closed,NERC,6/18/2015,Research Grant,Urgency,6/19/2014,51988.672
Med.Instrument.Device& Equip.,University of Southampton,LEAD ORGANISATION,Daniel,Bader,Medical & health interface,Active,EPSRC,6/22/2017,Research Grant,Network,6/23/2014,142773.782
Palaeobiology,The Natural History Museum,LEAD ORGANISATION,Richard,Twitchett,,Active,NERC,12/31/2015,Research Grant,Directed (Research Programmes),6/27/2014,52784.248
Analytical Science,University of Exeter,LEAD ORGANISATION,Julian,Moger,"Tools, technologies & methods",Active,BBSRC,6/29/2016,Research Grant,Small Grants,6/30/2014,143937.22
Instrumentation Eng. & Dev.,Cranfield University,LEAD ORGANISATION,Ralph,Tatam,Chemical measurement,Active,EPSRC,6/29/2017,Research Grant,Standard Research,6/30/2014,474331.176
Climate & Climate Change,University of Southampton,LEAD ORGANISATION,Ben,Anderson,Climate & climate change,Active,NERC,6/29/2017,Research Grant,Directed (Research Programmes),6/30/2014,174105.764
Med.Instrument.Device& Equip.,Barts Health NHS Trust,PROJECT PARTNER,Guang-Zhong,Yang,Medical & health interface,Active,EPSRC,6/29/2017,Research Grant,Network,6/30/2014,152205.034
Biomechanics & Rehabilitation,Odstock Medical Ltd,PROJECT PARTNER,William,Holderbaum,Medical & health interface,Active,EPSRC,6/29/2017,Research Grant,Standard Research,6/30/2014,708302.45
Medical Imaging,Leeds Teaching Hospitals NHS Trust,PROJECT PARTNER,Alison,Noble,"Tools, technologies & methods",Active,EPSRC,6/29/2017,Research Grant,Network,6/30/2014,151513.082
Med.Instrument.Device& Equip.,NIHR Enteric HTC,PROJECT PARTNER,Peter,Culmer,Medical & health interface,Active,EPSRC,12/1/2017,Research Grant,Network,6/30/2014,130809.464
RF & Microwave Technology,University of Birmingham,LEAD ORGANISATION,Peter,Gardner,Info. & commun. Technol.,Active,EPSRC,6/29/2018,Research Grant,Standard Research,6/30/2014,1201331.57
Aerodynamics,University of Southampton,LEAD ORGANISATION,Bharathram,Ganapathisubramani,Mechanical engineering,Active,EPSRC,6/29/2018,Research Grant,Standard Research,6/30/2014,513008.904
Regional & Extreme Weather,NERC British Geological Survey,LEAD ORGANISATION,Christopher,Jackson,,Active,NERC,6/29/2018,Research Grant,Directed (Research Programmes),6/30/2014,205877.738
Hydrological Processes,Severn Trent Water Ltd,PROJECT PARTNER,Leonard,Shaffrey,,Active,NERC,6/29/2018,Research Grant,Directed (Research Programmes),6/30/2014,820956.298
Underwater Engineering,Thales Underwater Systems,PROJECT PARTNER,William,Parnell,Mechanical engineering,Active,EPSRC,6/29/2019,Fellowship,EPSRC Fellowship,6/30/2014,1094684.56
Metabolic engineering,University of Sheffield,LEAD ORGANISATION,J,Green,,Active,BBSRC,6/29/2019,Research Grant,Standard Grant,6/30/2014,539623.616
Continuum Mechanics,Imperial College London,LEAD ORGANISATION,Serafim,Kalliadasis,,Active,EPSRC,6/29/2019,Research Grant,Platform Grants,6/30/2014,1616109.954
Crop science,University of Leeds,LEAD ORGANISATION,Gregory,Radick,,Closed,AHRC,6/30/2015,Research Grant,Follow-on Funding Impact & Eng,7/1/2014,79437.544
Regional & Extreme Weather,University of Birmingham,LEAD ORGANISATION,Stephen,Brammer,,Active,ESRC,3/31/2016,Research Grant,Research Grants,7/1/2014,158988.004
Stellar Astronomy,University of Southampton,LEAD ORGANISATION,Mark,Sullivan,Astronomy Observation,Active,STFC,6/30/2016,Research Grant,Standard (FEC) - NoFR,7/1/2014,159443.2
Technol. for Environ. Appl.,Technology Strategy Board,COFUNDER,Daniel,McCluskey,,Active,BBSRC,6/30/2017,Research Grant,Small Grants,7/1/2014,248246.448
Bioenergetics,Queen Mary; University of London,LEAD ORGANISATION,Peter,Heathcote,,Active,BBSRC,6/30/2017,Research Grant,Responsive Mode,7/1/2014,27679.6
Bioenergetics,University College London,LEAD ORGANISATION,Peter,Rich,,Active,BBSRC,6/30/2017,Research Grant,Responsive Mode,7/1/2014,54948.44
Endocrinology,University of Exeter,LEAD ORGANISATION,Charles,Tyler,,Active,BBSRC,6/30/2017,Research Grant,Responsive Mode,7/1/2014,467070.016
Structural Biology,University of York,LEAD ORGANISATION,Reidun,Twarock,Biomolecules & biochemistry,Active,BBSRC,6/30/2017,Research Grant,Responsive Mode,7/1/2014,7184.194
Energy Storage,The University of Manchester,LEAD ORGANISATION,Jovica,Milanovic,Energy,Active,EPSRC,6/30/2017,Research Grant,Standard Research,7/1/2014,1019957.976
Ocean Circulation,Plymouth Marine Laboratory,LEAD ORGANISATION,Ricardo,Torres,,Active,NERC,6/30/2017,Research Grant,Standard Grant (FEC),7/1/2014,81582.71
Climate & Climate Change,Stanford University,PROJECT PARTNER,Philip,Hosegood,Climate & climate change,Active,NERC,8/31/2017,Research Grant,Standard Grant (FEC),7/1/2014,363335.96
Receptors,King's College London,LEAD ORGANISATION,Corinne,Houart,,Active,BBSRC,10/31/2017,Research Grant,Responsive Mode,7/1/2014,490598.432
Regional & Extreme Weather,University of Reading,LEAD ORGANISATION,Eleanor,Highwood,,Active,NERC,6/30/2018,Research Grant,Standard Grant (FEC),7/1/2014,204361.382
Climate & Climate Change,University of Leeds,LEAD ORGANISATION,John,Marsham,Climate & climate change,Active,NERC,6/30/2018,Research Grant,Standard Grant (FEC),7/1/2014,407918.736
Glacial & Cryospheric Systems,University of Tasmania,PROJECT PARTNER,Graham,Stuart,,Active,NERC,7/20/2018,Research Grant,Standard Grant (FEC),7/1/2014,726620.884
Materials Characterisation,Accelrys Limited,PROJECT PARTNER,Rebecca,Nicholls,Materials sciences,Active,EPSRC,6/30/2024,Fellowship,EPSRC Fellowship,7/1/2014,846008.354
Fundamentals of Computing,Swansea University,LEAD ORGANISATION,Markus,Roggenbach,Info. & commun. Technol.,Active,EPSRC,7/1/2017,Research Grant,Standard Research,7/2/2014,178421.436
Environmental Microbiology,Laurentian University,PROJECT PARTNER,Andrew,Tanentzap,,Active,NERC,1/7/2018,Research Grant,Standard Grant (FEC),7/8/2014,398042.494
eScience,University of East Anglia,LEAD ORGANISATION,Vincent,Moulton,,Active,BBSRC,1/16/2018,Research Grant,BBR Scheme,7/17/2014,318493.98
Fundamentals of Computing,King's College London,FELLOW,Laurence,Tratt,Info. & commun. Technol.,Active,EPSRC,7/19/2019,Fellowship,EPSRC Fellowship,7/20/2014,953404.6
Mobile Computing,City University London,LEAD ORGANISATION,Thomas,Chen,,Active,EPSRC,7/20/2017,Research Grant,Standard Research,7/21/2014,174969.96
Solar Studies,Queen's University of Belfast,LEAD ORGANISATION,David,Jess,Solar and terrestrial physics,Active,STFC,7/20/2017,Research Grant,Standard (FEC),7/21/2014,277664.6
Materials Characterisation,CNRS,PROJECT PARTNER,Miryam,Arredondo-Arechavala,Materials sciences,Closed,EPSRC,2/26/2015,Research Grant,Overseas Travel Grants (OTGS),7/27/2014,11757.404
Biological membranes,University of Southampton,LEAD ORGANISATION,Rohan,Lewis,Biomolecules & biochemistry,Active,BBSRC,7/26/2017,Research Grant,Responsive Mode,7/27/2014,350289.296
Biochemical engineering,University College London,LEAD ORGANISATION,Darren,Nesbeth,,Active,BBSRC,7/27/2017,Research Grant,Small Grants,7/28/2014,208938.96
Computer Sys. & Architecture,Imperial College London,LEAD ORGANISATION,Emil,Lupu,Info. & commun. Technol.,Active,EPSRC,7/29/2017,Research Grant,Standard Research,7/30/2014,931041.216
Ageing: chemistry/biochemistry,Aston University,LEAD ORGANISATION,Helen,Griffiths,,Active,BBSRC,7/30/2016,Research Grant,Small Grants,7/31/2014,129124.928
Materials Processing,Brunel University,LEAD ORGANISATION,Dmitry,Eskin,Materials processing,Active,EPSRC,7/30/2017,Research Grant,Standard Research,7/31/2014,328609.948
Optical Devices & Subsystems,Aston University,FELLOW,Andrew,Ellis,Electrical engineering,Active,EPSRC,7/30/2019,Fellowship,EPSRC Fellowship,7/31/2014,1163889.299
Sediment/Sedimentary Processes,University of Edinburgh,LEAD ORGANISATION,Alastair,Robertson,,Closed,NERC,3/31/2015,Research Grant,Directed (RP) - NR1,8/1/2014,35609.65
Nuclear Astrophysics,University of York,LEAD ORGANISATION,Robert,Wadsworth,Nuclear physics,Closed,STFC,3/31/2015,Research Grant,Standard (FEC) - NoFR,8/1/2014,20800
Climate & Climate Change,Zoological Soc London Inst of Zoology,LEAD ORGANISATION,Kenneth,Norris,Climate & climate change,Closed,NERC,5/31/2015,Research Grant,Theme Leader (FEC),8/1/2014,24102.248
Theoretical biology,University of Nottingham,LEAD ORGANISATION,Michael,Tildesley,"Tools, technologies & methods",Closed,BBSRC,3/31/2016,Research Grant,Small Grants,8/1/2014,311516.52
Biomaterials,University of Glasgow,LEAD ORGANISATION,Nikolaj,Gadegaard,Atomic & molecular physics,Active,BBSRC,7/31/2016,Research Grant,Responsive Mode,8/1/2014,206979.824
Bioenergy,The University of Manchester,LEAD ORGANISATION,Jonathan,Lloyd,Atomic & molecular physics,Active,NERC,7/31/2017,Research Grant,Directed (Research Programmes),8/1/2014,200316.162
Nuclear structure,University of the West of Scotland,LEAD ORGANISATION,John,Smith,Nuclear physics,Active,STFC,9/30/2017,Research Grant,Standard (FEC) - NoFR,8/1/2014,379758.09
Hadron Physics,University of Edinburgh,LEAD ORGANISATION,Philip J,Woods,Nuclear physics,Active,STFC,9/30/2018,Research Grant,Standard (FEC) - NoFR,8/1/2014,1012584.35
Nuclear structure,The University of Manchester,LEAD ORGANISATION,Jonathan,Billowes,Nuclear physics,Active,STFC,9/30/2018,Research Grant,Standard (FEC) - NoFR,8/1/2014,1226632.424
Nuclear structure,University of Surrey,LEAD ORGANISATION,Philip Malzard,Walker,Nuclear physics,Active,STFC,9/30/2018,Research Grant,Standard (FEC) - NoFR,8/1/2014,1836574.438
Analytical Science,University of Leeds,FELLOW,Daniel,Stone,"Tools, technologies & methods",Active,NERC,7/31/2019,Fellowship,Research Fellowship,8/1/2014,515713.626
Magnetism/Magnetic Phenomena,University College London,LEAD ORGANISATION,Marzena,Szymanska,"Supercond, magn. &quant.fluids",Active,EPSRC,8/2/2017,Research Grant,Standard Research,8/3/2014,170029
Bioenergy,Durham University,LEAD ORGANISATION,John,Bothwell,Atomic & molecular physics,Active,BBSRC,8/3/2017,Research Grant,Standard Grant,8/4/2014,841967.618
RF & Microwave Technology,University of Bristol,LEAD ORGANISATION,Dimitra,Simeonidou,Info. & commun. Technol.,Active,EPSRC,8/10/2019,Research Grant,Programme Grants,8/11/2014,5893499.602
Power Electronics,University of Birmingham,LEAD ORGANISATION,Pietro,Tricoli,Electrical engineering,Active,EPSRC,2/20/2016,Research Grant,First Grant - Revised 2009,8/21/2014,98684.652
Bionanoscience,University of Exeter,LEAD ORGANISATION,Hylke,Glass,,Active,NERC,8/28/2017,Research Grant,Directed (Research Programmes),8/29/2014,132594.386
Artificial Intelligence,Northumbria University,LEAD ORGANISATION,Fouad,Khelifi,,Active,EPSRC,2/28/2016,Research Grant,First Grant - Revised 2009,8/31/2014,95000.458
Food processing,Rothamsted Research,LEAD ORGANISATION,Peter,Shewry,Food science & nutrition,Active,BBSRC,8/30/2017,Research Grant,Standard Grant,8/31/2014,96551.448
Food structure/composition,University of East Anglia,LEAD ORGANISATION,Susan Jane,Fairweather-Tait,Food science & nutrition,Active,BBSRC,8/30/2017,Research Grant,Standard Grant,8/31/2014,277101.156
Bioenergetics,University of Oxford,LEAD ORGANISATION,Fraser,Armstrong,,Active,BBSRC,2/28/2018,Research Grant,Small Grants,8/31/2014,333634.096
Fundamentals of Computing,IBM,PROJECT PARTNER,Ilias,Diakonikolas,Info. & commun. Technol.,Closed,EPSRC,8/31/2015,Research Grant,First Grant - Revised 2009,9/1/2014,98776.04
Information & Knowledge Mgmt,City University London,LEAD ORGANISATION,Tillman,Weyde,,Active,AHRC,10/31/2015,Research Grant,Development Grants,9/1/2014,61570.204
Tissue engineering,Heriot-Watt University,LEAD ORGANISATION,Will Wenmiao,Shu,Medical & health interface,Active,EPSRC,2/29/2016,Research Grant,Technology Programme,9/1/2014,124950.886
Palaeoenvironments,Royal Holloway; University of London,FELLOW,Alice,Milner,Climate & climate change,Active,NERC,6/30/2016,Fellowship,Knowledge Exchange Fellowships,9/1/2014,40081.884
